domain,metric,cohort,claimed,recomputed,match,note,part,classification,class_note
Cohort,operations,INSPIRE,96196,96196,OK,"",1,verified_ok,""
Cohort,events,INSPIRE,10370,10370,OK,"",1,verified_ok,""
Cohort,event rate %,INSPIRE,10.8,10.8,OK,"",1,verified_ok,""
Headline,XGB AUROC,INSPIRE,0.907,0.907,OK,"",1,verified_ok,""
Headline,XGB AUROC CI lo,INSPIRE,0.905,0.905,OK,"",1,verified_ok,""
Headline,XGB AUROC CI hi,INSPIRE,0.91,0.91,OK,"",1,verified_ok,""
Headline,XGB AUPRC,INSPIRE,0.552,0.552,OK,"",1,verified_ok,""
Headline,XGB Brier (no recal),INSPIRE,0.075,0.075,OK,"",1,verified_ok,""
Headline,XGB cal intercept,INSPIRE,-0.809,-0.809,OK,"",1,verified_ok,""
Headline,XGB cal slope,INSPIRE,0.875,0.875,OK,"",1,verified_ok,""
Headline,LR_full AUROC,INSPIRE,0.915,0.915,OK,"",1,verified_ok,""
Headline,XGB_noArt AUROC,INSPIRE,0.898,0.898,OK,"",1,verified_ok,""
Headline,SASA AUROC,INSPIRE,0.719,0.719,OK,SASA complete-case,1,verified_ok,""
Headline,DeLong p XGB vs LR_full,INSPIRE,3.3e-22,3.3e-22,OK,LR>XGB in INSPIRE,1,verified_ok,""
Cohort,operations,MOVER,48370,48370,OK,"",1,verified_ok,""
Cohort,events,MOVER,21740,21740,OK,"",1,verified_ok,""
Cohort,event rate %,MOVER,44.9,44.9,OK,"",1,verified_ok,""
Headline,XGB AUROC,MOVER,0.794,0.794,OK,"",1,verified_ok,""
Headline,XGB AUROC CI lo,MOVER,0.79,0.79,OK,"",1,verified_ok,""
Headline,XGB AUROC CI hi,MOVER,0.798,0.798,OK,"",1,verified_ok,""
Headline,XGB AUPRC,MOVER,0.761,0.761,OK,"",1,verified_ok,""
Headline,XGB Brier (no recal),MOVER,0.282,0.282,OK,"",1,verified_ok,""
Headline,XGB cal intercept,MOVER,2.352,2.352,OK,"",1,verified_ok,""
Headline,XGB cal slope,MOVER,0.717,0.717,OK,"",1,verified_ok,""
Headline,LR_full AUROC,MOVER,0.759,0.759,OK,"",1,verified_ok,""
Headline,XGB_noArt AUROC,MOVER,0.753,0.754,MISMATCH,from metrics_gru.csv (no XGB_noArt col in refined_categories_mover),1,artifact_rounding,true value 0.7539; text 0.753 is truncation-consistent with Table 2
Headline,SASA AUROC,MOVER,0.686,0.686,OK,SASA complete-case,1,verified_ok,""
Headline,DeLong p XGB vs LR_full,MOVER,1e-148,1e-147,MISMATCH,XGB>LR in MOVER,1,artifact_rounding,text uses approx; 1e-148 vs 1.0e-147 same magnitude
Table3,icu_dependent n,INSPIRE,3969,3969,OK,"",1,verified_ok,""
Table3,observational n,INSPIRE,5958,5958,OK,"",1,verified_ok,""
Table3,missed_escalation n,INSPIRE,1080,1080,OK,"",1,verified_ok,""
Table3,ward n,INSPIRE,85189,85189,OK,"",1,verified_ok,""
Table3,obs % of composite,INSPIRE,57.5,57.5,OK,"",1,verified_ok,""
Table3,icu_dep % of composite,INSPIRE,38.3,38.3,OK,"",1,verified_ok,""
Table3,median recal risk obs,INSPIRE,0.375,0.375,OK,"",1,verified_ok,""
Table3,median recal risk icu_dep,INSPIRE,0.34,0.34,OK,"",1,verified_ok,""
Table3,median recal risk missed,INSPIRE,0.363,0.363,OK,"",1,verified_ok,""
Table3,median recal risk ward,INSPIRE,0.015,0.015,OK,"",1,verified_ok,""
Table3,vent among early ICU %,INSPIRE,35,36,OK,~35%,1,verified_ok,""
Table3,vaso among early ICU %,INSPIRE,5,5.1,OK,"",1,verified_ok,""
Table3,icu_dependent n,MOVER,5883,5883,OK,"",1,verified_ok,""
Table3,observational n,MOVER,15821,15821,OK,"",1,verified_ok,""
Table3,missed_escalation n,MOVER,36,36,OK,"",1,verified_ok,""
Table3,ward n,MOVER,26630,26630,OK,"",1,verified_ok,""
Table3,obs % of composite,MOVER,72.8,72.8,OK,"",1,verified_ok,""
Table3,icu_dep % of composite,MOVER,27.1,27.1,OK,"",1,verified_ok,""
Table3,median recal risk icu_dep,MOVER,0.718,0.718,OK,"",1,verified_ok,""
Table3,median recal risk obs,MOVER,0.561,0.561,OK,"",1,verified_ok,""
Table3,median recal risk ward,MOVER,0.277,0.277,OK,"",1,verified_ok,""
Table3,obs admissions % of ops,MOVER,32.7,32.7,OK,text: 32.7% MOVER obs,1,verified_ok,""
Table3,vaso among ICU admissions %,MOVER,23,23,OK,~23% of ICU admissions,1,verified_ok,""
TableS7,icu_dependent AUROC,INSPIRE,0.877,0.877,OK,"",1,verified_ok,""
TableS7,any_true_need AUROC,INSPIRE,0.879,0.879,OK,"",1,verified_ok,""
TableS7,obsICU_vs_ward AUROC,INSPIRE,0.909,0.909,OK,"",1,verified_ok,""
TableS7,dep_vs_obs_admitted AUROC,INSPIRE,0.502,0.498,MISMATCH,"",1,artifact_convention,AUROC 0.498 for icu_dependent direction; text reports >=0.5 convention 0.502; CI 0.490-0.514 symmetric; both = chance
TableS7,icu_dependent AUROC,MOVER,0.783,0.783,OK,"",1,verified_ok,""
TableS7,any_true_need AUROC,MOVER,0.783,0.783,OK,"",1,verified_ok,""
TableS7,obsICU_vs_ward AUROC,MOVER,0.767,0.767,OK,"",1,verified_ok,""
TableS7,dep_vs_obs_admitted AUROC,MOVER,0.64,0.64,OK,"",1,verified_ok,""
Table4,low n,INSPIRE,71711,71711,OK,,2,verified_ok,""
Table4,low pct,INSPIRE,74.5,74.5,OK,,2,verified_ok,""
